"Expenditure ID","Org ID","Filer Type","Filer Name","Candidate Name","Expenditure Transaction Type","Expenditure Sub Type","Expenditure Date","Expenditure Amount","Description","Payee or Recipient or In-Kind Contributor Type","Payee or Recipient or In-Kind Contributor Name","First Name","Middle Name","Suffix","Address 1","Address 2","City","State","Zip","Filed Date","Support Or Oppose","Candidate Name or Ballot Issue","Jurisdiction - Office - District or Ballot Description","Amended","Employer","Occupation","Principal Place of Business"
"67061","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","","","","15751 SPENCER STREET","","OMAHA","NE","68116","03/03/2025","","","","N","","",""
"67062","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","FESTERSEN FOR CITY COUNCIL","","","","660 PARKWOOD LANE","","OMAHA","NE","68132","03/03/2025","","","","Y","","",""
"67063","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","GOODWIN FOR CITY COUNCIL","","","","4111 N 18TH STREET","","OMAHA","NE","68110","03/03/2025","","","","N","","",""
"67065","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","HUG FOR CITY COUNCIL","","","","4471 GROVER STREET","","OMAHA","NE","68105","03/03/2025","","","","N","","",""
"67066","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","5340 PONY HILL CT","Candidate Committee","VOTE VANESSA FOR LINCOLN AIRPORT AUTHORITY *","","","","5340 PONY HILL CT","","LINCOLN","NE","68516","03/03/2025","","","","N","","",""
"67068","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","In-Kind Contribution (Exp)","Other","01/01/2025","500","VOTER DATA TOOL","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","","","3701 O STREET","","LINCOLN","NE","68510","03/03/2025","","","","N","","",""
"67095","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","JOHN CARTIER FOR LINCOLN PUBLIC SCHOOLS","","","","6715 BETHANY PARK DRIVE","","LINCOLN","NE","68505","03/03/2025","","","","N","","",""
"67096","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","WILLIAM KING FOR OMAHA CITY COUNCIL","","","","1416 N 38TH STREET","","OMAHA","NE","68131","03/03/2025","","","","N","","",""
"67097","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","ANDREA EVANS FOR LINCOLN SCHOOL BOARD","","","","1341 S 14TH STREET","","LINCOLN","NE","68502","03/03/2025","","","","N","","",""
"67111","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","-500","Offset due to delete of filed item -  VOTER FILE ACCESS","Candidate Committee","FESTERSEN FOR CITY COUNCIL","","","","660 PARKWOOD LANE","","OMAHA","NE","68132","03/04/2025","","","","N","","",""
"67112","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER ACCESS FILE","Candidate Committee","ADAMS FOR OMAHA","","","","2301 S 33RD STREET","","OMAHA","NE","68105","03/04/2025","","","","N","","",""
"60748","7345","Candidate Committee","BRANDT FOR LEGISLATURE","THOMAS J BRANDT","Officeholder Expense specifically allowed by Statute","Unknown","01/02/2024","12","OFFICE INTERNET EXPENSE","Business (For-Profit and Non-Profit entities)","GOOGLE","","","","1600 AMPHITHEATRE PARKWAY","","MOUNTAIN VIEW","CA","94043","01/13/2025","","","","N","","",""
"64657","7456","Candidate Committee","JOHN LOWE FOR LEGISLATURE","JOHN LOWE","Campaign Expense","Unknown","01/02/2024","47.77","FUEL","Business (For-Profit and Non-Profit entities)","COSTCO","","","","1620 PINE LAKE RD","","LINCOLN","NE","68512","01/21/2025","","","","N","","",""
"64739","7381","Candidate Committee","BOB EVNEN FOR NEBRASKA","ROBERT EVNEN","Campaign Expense","Unknown","01/02/2024","602.17","REIMBURSEMENT","Individual","EVNEN","ROBERT","","","3145 SOUTH 31ST STREET","","LINCOLN","NE","68502","01/27/2025","","","","N","","",""
"64740","7381","Candidate Committee","BOB EVNEN FOR NEBRASKA","ROBERT EVNEN","Third Party Expenditure","Third Party Expenditure","01/02/2024","602.17","EVENT","Business (For-Profit and Non-Profit entities)","CORKSCREW WINE AND CHEESE","","","","10924 PRAIRIE BROOK RD.","","OMAHA","NE","68114","01/27/2025","","","","N","","",""
"65613","7370","Candidate Committee","RURAL NEBRASKANS FOR BARRY DEKAY","BARRY DEKAY","Campaign Expense","Unknown","01/02/2024","69.43","MILEAGE MENOMMINEE","Individual","DEKAY","BARRY","","","51228 896 RD","","NIOBRARA","NE","68760","01/27/2025","","","","N","","",""
"65737","7357","Candidate Committee","MACHAELA CAVANAUGH FOR LEGISLATURE","MACHAELA CAVANAUGH","Officeholder Expense specifically allowed by Statute","Unknown","01/02/2024","250.25","OFFICE SUPPLIES","Business (For-Profit and Non-Profit entities)","OFFICE MAX","","","","6940 DODGE ST","","OMAHA","NE","68132","01/31/2025","","","","N","","",""
"65901","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/02/2024","24.99","NEWSPAPER SUBSCRIPTION","Business (For-Profit and Non-Profit entities)","LINCOLN JOURNAL STAR (JOURNAL-STAR PRINTING CO. DBA)","","","","4600 E 53RD STREET","(PO BOX 81869 LINCOLN, NE 68501)","DAVENPORT","IA","52807","01/31/2025","","","","N","","",""
"66210","7337","Candidate Committee","FRIENDS FOR NICKI BEHMER","NICKI BEHMER","Campaign Expense","Unknown","01/02/2024","12","GOOGLE SUITE","Business (For-Profit and Non-Profit entities)","GOOGLE","","","","1600 AMPHITHEATRE PARKWAY","","MOUNTAIN VIEW","CA","94043","01/31/2025","","","","N","","",""
"66260","7410","Candidate Committee","FRIENDS FOR JASMINE L HARRIS","JASMINE L HARRIS","Charitable Contributions / Gifts of Acknowledgement (amount limited by Statute)","Unknown","01/02/2024","250","END OF YEAR GIFT","Business (For-Profit and Non-Profit entities)","NONPROFIT ASSOCIATION OF THE MIDLANDS","","","","1111 N. 13TH STREET","SUITE 213","OMAHA","NE","68102","01/31/2025","","","","N","","",""
"66938","7472","Candidate Committee","FRIENDS FOR JACQUELYN MORRISON","JACQUELYN MORRISON","Campaign Expense","Unknown","01/02/2024","17.35","WEBSITE EXPENSE","Business (For-Profit and Non-Profit entities)","WIX.COM","","","","500 TERRY A FRANCOIS BLVD","6TH FLOOR","SAN FRANCISCO","NE","94158","03/02/2025","","","","N","","",""
"66940","7472","Candidate Committee","FRIENDS FOR JACQUELYN MORRISON","JACQUELYN MORRISON","Campaign Expense","Unknown","01/02/2024","72","WEBSITE/EMAIL EXPENSE","Business (For-Profit and Non-Profit entities)","WIX.COM","","","","500 TERRY A FRANCOIS BLVD","6TH FLOOR","SAN FRANCISCO","NE","94158","03/02/2025","","","","N","","",""
"62523","8754","Nebraska Business Supplemental Filer","PAYPAL INC","","Direct contribution","Unknown","01/02/2025","1000","","Candidate Committee","MIKE JACOBSON FOR LEGISLATURE","","","","3020 WEST LEOTA","","NORTH PLATTE","NE","69101","01/10/2025","","","","N","","",""
"66405","7872","Nebraska Business Supplemental Filer","GREAT PLAINS COMMUNICATIONS","","Direct contribution","Unknown","01/02/2025","250","","Candidate Committee","MCKEON FOR LEGISLATURE","","","","9774 175TH ROAD","","AMHERST","NE","68812","02/04/2025","","","","N","","",""
"66406","7872","Nebraska Business Supplemental Filer","GREAT PLAINS COMMUNICATIONS","","Direct contribution","Unknown","01/02/2025","200","","Candidate Committee","DAVE MURMAN FOR LEGISLATURE","","","","31260 ROAD A","","GLENVIL","NE","68941","02/04/2025","","","","N","","",""
"66407","7872","Nebraska Business Supplemental Filer","GREAT PLAINS COMMUNICATIONS","","Direct contribution","Unknown","01/02/2025","1000","","Candidate Committee","FESTERSEN FOR CITY COUNCIL","","","","660 PARKWOOD LANE","","OMAHA","NE","68132","02/04/2025","","","","N","","",""
"66556","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/02/2025","1750","REIMBURSEMENT FOR WEBSITE DEVELOPMENT","Individual","RASMUSSEN-SAGAN","JENNIFER","","","3907 TRIMBLE ROAD","","NASHVILLE","TN","37215","02/27/2025","","","","N","","",""
"66666","7458","Candidate Committee","FRIENDS OF MIKE MCDONNELL","MICHAEL MCDONNELL","Campaign Expense","Unknown","01/02/2025","4041.45","CAMPAIGN CONSULTING","Business (For-Profit and Non-Profit entities)","CHISM STRATEGIES","","","","305 GREEN OAK LANE","","MADISON","MS","39110","03/03/2025","","","","N","","",""
"66774","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/02/2025","2100","WEBSITE EXPSENSE","Business (For-Profit and Non-Profit entities)","SHAPE SOCIETY","","","","1901 HOWARD STREET","","OMAHA","NE","68102","02/27/2025","","","","N","","",""
"66953","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/02/2025","49.49","RENTAL TRUCK","Business (For-Profit and Non-Profit entities)","U-HAUL","","","","333 S 13TH ST","","LINCOLN","NE","68508","03/03/2025","","","","N","","",""
"66955","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/02/2025","123.01","OFFICE SUPPLIES","Business (For-Profit and Non-Profit entities)","OFFICE DEPOT","","","","13770 W MAPLE RD","","OMAHA","NE","68116","03/03/2025","","","","N","","",""
"67073","7651","Candidate Committee","JUANITA JOHNSON FOR CITY COUNCIL","JUANITA JOHNSON","Campaign Expense","Unknown","01/02/2025","1000","CAMPAIGN MANAGER","Individual","POOLE","SYRANDA","","","2747 MARY STREET","","OMAHA","NE","68112","03/03/2025","","","","N","","",""
"67132","7410","Candidate Committee","FRIENDS FOR JASMINE L HARRIS","JASMINE L HARRIS","Campaign Expense","Unknown","01/02/2025","21.6","GOOGLE G-SUITE","Business (For-Profit and Non-Profit entities)","GOOGLE","","","","1600 AMPHITHEATRE PARKWAY","","MOUNTAIN VIEW","CA","94043","03/04/2025","","","","N","","",""
"63623","8956","Candidate Committee","NICKI FOR NEBRASKA","NICKI BEHMER POPP","Campaign Expense","Unknown","01/03/2024","139","PLATFORM FEE","Business (For-Profit and Non-Profit entities)","DONORBOX","","","","1520 BELLE VIEW BLVD. #4106","","ALEXANDRIA","VA","22307","01/14/2025","","","","N","","",""
"64717","9259","Candidate Committee","ASHLEI FOR NEBRASKA","ASHLEI SPIVEY","Campaign Expense","Unknown","01/03/2024","1000","CATERING","Business (For-Profit and Non-Profit entities)","BEST BURGER LLC","","","","2112 N 30TH S","","OMAHA","NE","68111","01/21/2025","","","","N","","",""
"64764","7393","Candidate Committee","LEIRION FOR LINCOLN MAYOR","LEIRION GAYLOR BAIRD","Campaign Expense","Unknown","01/03/2024","1750","CONSULTING SERVICES","Individual","GRIFFIN","JANE","","","3245 S 30TH ST","","LINCOLN","NE","68502","01/24/2025","","","","N","","",""
"65308","7688","Candidate Committee","JIM PILLEN FOR GOVERNOR","JIM PILLEN","Campaign Expense","Unknown","01/03/2024","1967","ER EE TAXES","Business (For-Profit and Non-Profit entities)","INTERNAL REVENUE SERVICE","","","","N/A","","OGDEN","UT","84201","01/30/2025","","","","N","","",""
"65804","7599","Candidate Committee","CLARE FOR REGENT","TIM CLARE","Campaign Expense","Unknown","01/03/2024","1179.5","REIMBURSEMENT OF CHRISTMAS CARDS AND POSTAGE","Individual","CLARE","TIMOTHY","F","","6212 HICKORY CREST CIR.","","LINCOLN","NE","68516","01/29/2025","","","","N","","",""
"66018","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Officeholder Expense specifically allowed by Statute","Unknown","01/03/2024","699.48","LODGING","Business (For-Profit and Non-Profit entities)","THE RUSSELL","","","","819 RUSSELL STREET","","NASHVILLE","TN","37206","01/31/2025","","","","N","","",""
"66019","7572","Candidate Committee","WYATT FOR NEBRASKA","TAYLOR WYATT","Campaign Expense","Unknown","01/03/2024","350","EXPENSES PAID UNDER $250","Business (For-Profit and Non-Profit entities)","PAYEES WHO WERE PAID, EACH $250 OR LESS DURING THE REPORTING PERIOD","","","",".","",".","NE","00000","01/30/2025","","","","N","","",""
"61409","8729","Nebraska Business Supplemental Filer","MILLARD PUBLIC SCHOOLS FOUNDATION","","Direct contribution","Unknown","01/03/2025","25000","","Ballot Question Committee","MILLARD CITIZENS FOR CONTINUED EXCELLENCE 2025","","","","18808 BIRCHWOOD AVENUE","","OMAHA","NE","68135","01/06/2025","","","","N","","",""
"62051","7746","Nebraska Business Supplemental Filer","EDWARDS WESTERHOLD MOORE","","Direct contribution","Unknown","01/03/2025","500","","Candidate Committee","FRIENDS OF MIKE HILGERS","","","","1320 LINCOLN MALL","","LINCOLN","NE","68508","01/09/2025","","","","N","","",""
"64368","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Campaign Expense","Unknown","01/03/2025","36.99","BANK FEE","Business (For-Profit and Non-Profit entities)","ANEDOT, INC","","","","1340 POYDRAS ST","","NEW ORLEANS","LA","70112","03/03/2025","","","","N","","",""
"66534","9030","Nebraska Business Supplemental Filer","SECOND HOUSE COLLABORATIVE","","In-Kind Expenditure","Unknown","01/03/2025","201587.71","LEGAL FEES TO GUTMAN LAW FIRM FOR INITIATIVE LEGAL DEFENSE","Ballot Question Committee","NMM","","","","3637 HOLDREGE STREET","","LINCOLN","NE","68503","02/10/2025","","","","N","","",""
"66856","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","Campaign Expense","Unknown","01/03/2025","15307.46","CAMPAIGN MANAGEMENT","Business (For-Profit and Non-Profit entities)","CERBERUS STRATEGIES","","","","4565 SHIRLEY STREET","","OMAHA","NE","68106","03/03/2025","","","","N","","",""
"66857","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","Campaign Expense","Unknown","01/03/2025","565","VOTER DATA TOOL","Business (For-Profit and Non-Profit entities)","NGP VAN INC","","","","1101 15TH STREET NORTH WEST SUITE 500","","WASHINGTON","DC","20005","03/03/2025","","","","N","","",""
"66956","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/03/2025","40.82","PODIUM RENTAL","Business (For-Profit and Non-Profit entities)","HONEYMAN RENT-ALL","","","","8202 F STREET","","OMAHA","NE","68127","03/03/2025","","","","N","","",""
"67032","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/03/2025","670.31","EVENT CATERING","Business (For-Profit and Non-Profit entities)","COSTCO","","","","12300 W DODGE ROAD","","OMAHA","NE","68154","03/03/2025","","","","N","","",""
"43679","7699","Candidate Committee","ANNA WISHART FOR LEGISLATURE","ANNA WISHART","Campaign Expense","Unknown","01/04/2024","519.3","WEBSITE HOSTING","Business (For-Profit and Non-Profit entities)","BCOM SOLUTIONS LLC","","","","747 O STREET, SUITE 150","","LINCOLN","NE","68508","01/27/2025","","","","N","","",""
"64873","7331","Candidate Committee","DANNY BEGLEY FOR OMAHA","DANNY BEGLEY","Campaign Expense","Unknown","01/04/2024","15000","LEGAL SERVICES","Business (For-Profit and Non-Profit entities)","HUSCH BLACKWELL LLP","","","","1620 DODGE STREET #2100","","OMAHA","NE","68102","01/31/2025","","","","Y","","",""
"65125","7694","Candidate Committee","PETE RICKETTS FOR GOVERNOR","PETE RICKETTS","Campaign Expense","Unknown","01/04/2024","82","STORAGE","Business (For-Profit and Non-Profit entities)","BIG RED STORAGE","","","","609 VAN DORN STREET","","LINCOLN","NE","68502","01/29/2025","","","","N","","",""
"65854","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/04/2024","82.31","OFFICE SUPPLIES","Business (For-Profit and Non-Profit entities)","TARGET","","","","7200 DODGE STREET","","OMAHA","NE","68114","01/31/2025","","","","N","","",""
"66229","7541","Candidate Committee","VARGAS FOR NEBRASKA","ANTHONY VARGAS","Campaign Expense","Unknown","01/04/2024","1696","STORAGE OF CAMPAIGN MATERIALS","Business (For-Profit and Non-Profit entities)","LOCKBOX STORAGE","","","","501 PACIFIC ST","","OMAHA","NE","68108","01/31/2025","","","","N","","",""
"66462","7331","Candidate Committee","DANNY BEGLEY FOR OMAHA","DANNY BEGLEY","Campaign Expense","Unknown","01/04/2024","-15000","Offset due to update of filed item","Business (For-Profit and Non-Profit entities)","HUSCH BLACKWELL LLP","","","","1620 DODGE STREET #2100","","OMAHA","NE","68102","02/07/2025","","","","N","","",""
"66463","7331","Candidate Committee","DANNY BEGLEY FOR OMAHA","DANNY BEGLEY","Campaign Expense","Unknown","01/04/2024","15000","LEGAL SERVICES-RELATED TO VENDOR DISAGREEMENT","Business (For-Profit and Non-Profit entities)","HUSCH BLACKWELL LLP","","","","1620 DODGE STREET #2100","","OMAHA","NE","68102","02/07/2025","","","","N","","",""
"66944","7472","Candidate Committee","FRIENDS FOR JACQUELYN MORRISON","JACQUELYN MORRISON","Campaign Expense","Unknown","01/04/2024","6","CAMPAIGN STRATEGY MEETING","Business (For-Profit and Non-Profit entities)","PAYEES WHO WERE PAID, EACH $250 OR LESS DURING THE REPORTING PERIOD","","","",".","",".","NE","00000","03/02/2025","","","","N","","",""
"62208","9577","Nebraska Business Supplemental Filer","FLEMING FAMILY FOUNDATION 501(C)(3)","","Direct contribution","Unknown","01/04/2025","500","","Candidate Committee","COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF","","","","10024 EMILINE STREET","","LA VISTA","NE","68128","01/06/2025","","","","N","","",""
"41456","8090","Candidate Committee","TERESA IBACH FOR LEGISLATURE","TERESA IBACH","Campaign Expense","Unknown","01/05/2024","10.99","MONTHLY SUBSCRIPTION TO LEXINGTON CLIPPER HERALD NEWSPAPER","Business (For-Profit and Non-Profit entities)","LEXINGTON CLIPPER HERALD","","","","114 W 5TH ST.","","LEXINGTON","NE","68850","01/28/2025","","","","N","","",""
"43678","7699","Candidate Committee","ANNA WISHART FOR LEGISLATURE","ANNA WISHART","Campaign Expense","Unknown","01/05/2024","1.98","PAYPAL TRANSACTION FEE","Business (For-Profit and Non-Profit entities)","PAYPAL","","","","2211 NORTH 1ST ST","","SAN JOSE","CA","95131","01/27/2025","","","","N","","",""
"60605","7576","Candidate Committee","FRIENDS OF CINDY MAXWELL-OSTDIEK","CINDY MAXWELL-OSTDIEK","Campaign Expense","Unknown","01/05/2024","54","DATA TOOL","Business (For-Profit and Non-Profit entities)","NATIONBUILDER","","","","520 S. GRAND AVENUE, PO BOX 811428","","LOS ANGELES","CA","90081","01/31/2025","","","","N","","",""
"63224","7480","Candidate Committee","NEARY FOR STATE BOARD OF EDUCATION","DEBORAH NEARY","Campaign Expense","Unknown","01/05/2024","27.96","MEETING EXPENSE","Business (For-Profit and Non-Profit entities)","HYVEE","","","","5010 O ST","","LINCOLN","NE","68510","01/22/2025","","","","N","","",""
"65806","7599","Candidate Committee","CLARE FOR REGENT","TIM CLARE","Campaign Expense","Unknown","01/05/2024","500","EVENT TICKETS","Candidate Committee","ROBERT DOVER FOR NEBRASKA","","","","1000 W NORFOLK AVENUE","","NORFOLK","NE","68701","01/29/2025","","","","N","","",""
"66016","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Officeholder Expense specifically allowed by Statute","Unknown","01/05/2024","668.34","LODGING","Business (For-Profit and Non-Profit entities)","THE RUSSELL","","","","819 RUSSELL STREET","","NASHVILLE","TN","37206","01/31/2025","","","","N","","",""
"66027","7669","Candidate Committee","GEORGE FOR NEBRASKA","GEORGE DUNGAN III","Campaign Expense","Unknown","01/05/2024","567.79","OFFICE STARTUP MATERIAL","Business (For-Profit and Non-Profit entities)","TARGET","","","","5330 S 56TH ST","","LINCOLN","NE","68516","01/31/2025","","","","N","","",""
"66374","7555","Candidate Committee","HANSON FOR SHERIFF","AARON HANSON","Campaign Expense","Unknown","01/05/2024","106.55","STORAGE GARAGE","Business (For-Profit and Non-Profit entities)","DINO'S STORAGE","","","","4876 S 192ND ST","","OMAHA","NE","68135","01/31/2025","","","","N","","",""
"61390","7319","Candidate Committee","JONI ALBRECHT FOR LEGISLATURE","JONI ALBRECHT","Campaign Expense","Unknown","01/06/2024","1582","PAYEES WHO WERE PAID $250 OR LESS DURING THE REPORTING PERIOD","Business (For-Profit and Non-Profit entities)","PAYEES WHO WERE PAID, EACH $250 OR LESS DURING THE REPORTING PERIOD","","","",".","",".","NE","00000","01/06/2025","","","","N","","",""
"61898","7325","Candidate Committee","CITIZENS TO ELECT JOHN ARCH","JOHN ARCH","Campaign Expense","Unknown","01/06/2024","2500","CONSULTING","Individual","EDWARDS","RODNEY","","","2907 S 186 PLAZA, APT 702","","OMAHA","NE","68130","01/13/2025","","","","N","","",""
"66882","9743","Candidate Committee","ADAMS FOR OMAHA","ANDREW ADAMS","Campaign Expense","Unknown","01/06/2024","11","ADVERTISING FEE","Business (For-Profit and Non-Profit entities)","FACEBOOK","","","","1 HACKER WAY","","MENLO PARK","CA","94025","03/02/2025","","","","N","","",""
"66883","9743","Candidate Committee","ADAMS FOR OMAHA","ANDREW ADAMS","Campaign Expense","Unknown","01/06/2024","11","ADVERTISING FEE","Business (For-Profit and Non-Profit entities)","FACEBOOK","","","","1 HACKER WAY","","MENLO PARK","CA","94025","03/02/2025","","","","N","","",""
"66441","8016","Nebraska Business Supplemental Filer","UNION PACIFIC RAILROAD COMPANY","","Direct contribution","Unknown","01/06/2025","10000","CONTRIBUTION","Candidate Committee","JIM PILLEN FOR GOVERNOR","","","","4438 OLD MILL COURT","","COLUMBUS","NE","68601","02/05/2025","","","","N","","",""
"66565","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/06/2025","10","FILING FEE","Business (For-Profit and Non-Profit entities)","CITY OF OMAHA","","","","1819 FARNAM STREET","","OMAHA","NE","68183","02/27/2025","","","","N","","",""
"66924","9743","Candidate Committee","ADAMS FOR OMAHA","ANDREW ADAMS","Campaign Expense","Unknown","01/06/2025","11","ADVERTISING","Business (For-Profit and Non-Profit entities)","FACEBOOK","","","","1 HACKER WAY","","MENLO PARK","CA","94025","03/02/2025","","","","N","","",""
